experiment,session,trial,timestamp,animal_id,strain,sex,researcher,drug,treatment,exit#,metric,value
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,n_movement_bout,5
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,latency_to_exit_s,9.75077
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,time_in_exit_zone_s,0.0357171
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,mean_distance_to_exit_cm,76.484
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,path_efficiency,0.384674
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,time_in_center_s,1.17866
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,n_center_entries,1
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,n_feedback_error_bouts,59
VASTcont,S02,T05,2026-02-24T14:17:16,1,?,?,Hayden,n/a,RBSF,0,feedback_error_duration_s,3.32169
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,trial_duration_s,35.9365
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,total_distance_m,3.84054
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,time_still_s,24.4124
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,avg_speed_mps,0.347328
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,n_movement_bout,13
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,latency_to_exit_s,35.8647
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,time_in_exit_zone_s,0.0718013
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,mean_distance_to_exit_cm,57.0688
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,path_efficiency,0.177911
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,time_in_center_s,1.86683
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,n_center_entries,3
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,n_feedback_error_bouts,164
VASTcont,S02,T06,2026-02-24T14:17:38,1,?,?,Hayden,n/a,RBSF,2,feedback_error_duration_s,9.58547
VASTcont,S02,T07,2026-02-24T14:18:26,1,?,?,Hayden,n/a,RBSF,1,trial_duration_s,120.032
VASTcont,S02,T07,2026-02-24T14:18:26,1,?,?,Hayden,n/a,RBSF,1,total_distance_m,2.79739
VASTcont,S02,T07,2026-02-24T14:18:26,1,?,?,Hayden,n/a,RBSF,1,time_still_s,111.408
VASTcont,S02,T07,2026-02-24T14:18:26,1,?,?,Hayden,n/a,RBSF,1,avg_speed_mps,0.348955
VASTcont,S02,T07,2026-02-24T14:18:26,1,?,?,Hayden,n/a,RBSF,1,n_movement_bout,17
VASTcont,S02,T07,2026-02-24T14:18:26,1,?,?,Hayden,n/a,RBSF,1,time_in_exit_zone_s,0
VASTcont,S02,T07,2026-02-24T14:18:26,1,?,?,Hayden,n/a,RBSF,1,mean_distance_to_exit_cm,42.1884
VASTcont,S02,T07,2026-02-24T14:18:26,1,?,?,Hayden,n/a,RBSF,1,path_efficiency,0.139546
VASTcont,S02,T07,2026-02-24T14:18:26,1,?,?,Hayden,n/a,RBSF,1,time_in_center_s,3.43563
