parent_directory,file_name,id,tx,sex,phase,trial,escape_arm,start_datetime
EHRAM Cohort 1 DARPA videos,Test 97.mp4,3214,GHSD,F,train_2,3,0,2025-11-19T16:46:46
EHRAM Cohort 1 DARPA videos,Test 98.mp4,3208,NoSD,F,train_2,4,2,2025-11-19T16:50:53
EHRAM Cohort 1 DARPA videos,Test 99.mp4,3209,GHSD,F,train_2,4,1,2025-11-19T16:57:00
EHRAM Cohort 1 DARPA videos,Test 100.mp4,3210,GHSD,F,train_2,4,7,2025-11-19T17:00:36
EHRAM Cohort 1 DARPA videos,Test 101.mp4,3211,GHSD,F,train_2,4,5,2025-11-19T17:09:14
EHRAM Cohort 1 DARPA videos,Test 102.mp4,3212,GHSD,F,train_2,4,3,2025-11-19T17:13:24
EHRAM Cohort 1 DARPA videos,Test 103.mp4,3213,GHSD,F,train_2,4,2,2025-11-19T17:17:23
EHRAM Cohort 1 DARPA videos,Test 104.mp4,3214,GHSD,F,train_2,4,7,2025-11-19T17:21:37
EHRAM Cohort 1 DARPA videos,Test 105.mp4,3201,RBSD,F,train_3,1,5,2025-11-20T12:56:46
EHRAM Cohort 1 DARPA videos,Test 106.mp4,3202,RBSD,F,train_3,1,0,2025-11-20T13:00:35
EHRAM Cohort 1 DARPA videos,Test 107.mp4,3203,RBSD,F,train_3,1,1,2025-11-20T13:08:04
EHRAM Cohort 1 DARPA videos,Test 108.mp4,3205,RBSD,F,train_3,1,7,2025-11-20T13:12:19
EHRAM Cohort 1 DARPA videos,Test 109.mp4,3206,RBSD,F,train_3,1,7,2025-11-20T13:16:48
EHRAM Cohort 1 DARPA videos,Test 110.mp4,3207,RBSD,F,train_3,1,2,2025-11-20T13:23:50
EHRAM Cohort 1 DARPA videos,Test 111.mp4,3201,RBSD,F,train_3,2,3,2025-11-20T13:27:56
EHRAM Cohort 1 DARPA videos,Test 112.mp4,3202,RBSD,F,train_3,2,7,2025-11-20T13:31:59
EHRAM Cohort 1 DARPA videos,Test 113.mp4,3203,RBSD,F,train_3,2,2,2025-11-20T13:39:03
EHRAM Cohort 1 DARPA videos,Test 114.mp4,3205,RBSD,F,train_3,2,4,2025-11-20T13:43:00
EHRAM Cohort 1 DARPA videos,Test 115.mp4,3206,RBSD,F,train_3,2,0,2025-11-20T13:46:36
EHRAM Cohort 1 DARPA videos,Test 116.mp4,3207,RBSD,F,train_3,2,2,2025-11-20T13:51:06
EHRAM Cohort 1 DARPA videos,Test 117.mp4,3201,RBSD,F,train_3,3,4,2025-11-20T13:54:22
EHRAM Cohort 1 DARPA videos,Test 118.mp4,3202,RBSD,F,train_3,3,7,2025-11-20T13:58:24
EHRAM Cohort 1 DARPA videos,Test 119.mp4,3203,RBSD,F,train_3,3,2,2025-11-20T14:03:37
EHRAM Cohort 1 DARPA videos,Test 120.mp4,3205,RBSD,F,train_3,3,4,2025-11-20T14:08:00
EHRAM Cohort 1 DARPA videos,Test 121.mp4,3206,RBSD,F,train_3,3,6,2025-11-20T14:12:44
EHRAM Cohort 1 DARPA videos,Test 122.mp4,3207,RBSD,F,train_3,3,7,2025-11-20T14:16:39
EHRAM Cohort 1 DARPA videos,Test 123.mp4,3201,RBSD,F,train_3,4,4,2025-11-20T14:22:36
EHRAM Cohort 1 DARPA videos,Test 124.mp4,3202,RBSD,F,train_3,4,2,2025-11-20T14:26:12
EHRAM Cohort 1 DARPA videos,Test 125.mp4,3203,RBSD,F,train_3,4,7,2025-11-20T14:33:51
EHRAM Cohort 1 DARPA videos,Test 126.mp4,3205,RBSD,F,train_3,4,7,2025-11-20T14:37:24
EHRAM Cohort 1 DARPA videos,Test 127.mp4,3206,RBSD,F,train_3,4,7,2025-11-20T14:40:58
EHRAM Cohort 1 DARPA videos,Test 128.mp4,3207,RBSD,F,train_3,4,3,2025-11-20T14:45:01
EHRAM Cohort 1 DARPA videos,Test 129 - Trim.mp4,3208,NoSD,F,train_3,1,2,2025-11-20T15:06:51
EHRAM Cohort 1 DARPA videos,Test 130.mp4,3209,GHSD,F,train_3,1,2,2025-11-20T15:11:20
EHRAM Cohort 1 DARPA videos,Test 131.mp4,3210,GHSD,F,train_3,1,0,2025-11-20T15:14:59
EHRAM Cohort 1 DARPA videos,Test 132.mp4,3211,GHSD,F,train_3,1,1,2025-11-20T15:19:43
EHRAM Cohort 1 DARPA videos,Test 133.mp4,3212,GHSD,F,train_3,1,4,2025-11-20T15:24:19
EHRAM Cohort 1 DARPA videos,Test 134.mp4,3213,GHSD,F,train_3,1,7,2025-11-20T15:28:34
EHRAM Cohort 1 DARPA videos,Test 135.mp4,3214,GHSD,F,train_3,1,1,2025-11-20T15:33:47
EHRAM Cohort 1 DARPA videos,Test 136.mp4,3208,NoSD,F,train_3,2,7,2025-11-20T15:37:54
EHRAM Cohort 1 DARPA videos,Test 137.mp4,3209,GHSD,F,train_3,2,1,2025-11-20T15:43:21
EHRAM Cohort 1 DARPA videos,Test 138.mp4,3210,GHSD,F,train_3,2,2,2025-11-20T15:48:09
